language,city,date,mobile
cypriot,madrid,42,0
slovene,rome,44,0
greek,sofia,10,0
italian,amsterdam,40,1
czech,madrid,15,1
bulgarian,madrid,22,1
finnish,copenhagen,15,0
italian,madrid,10,0
slovene,amsterdam,26,0
romanian,madrid,37,1
slovakian,sofia,28,0
finnish,paris,8,1
luxembourgish,madrid,22,0
italian,sofia,9,1
maltese,madrid,5,0
finnish,valletta,37,0
danish,valletta,3,1
estonian,vilnius,21,1
czech,sofia,24,0
swedish,paris,7,0
croatian,amsterdam,28,1
greek,madrid,11,0
hungarian,amsterdam,2,0
estonian,copenhagen,8,1
italian,amsterdam,2,1
lithuanian,rome,8,1
french,vienna,1,0
swedish,valletta,9,1
polish,sofia,43,0
slovene,copenhagen,28,0
hungarian,amsterdam,38,0
luxembourgish,vienna,43,1
german,vilnius,3,0
french,vilnius,40,0
finnish,paris,44,1
bulgarian,valletta,30,1
german,paris,16,1
slovakian,rome,11,1
austrian,valletta,19,0
greek,vienna,6,1
latvian,rome,16,1
romanian,madrid,5,1
dutch,sofia,12,1
swedish,sofia,13,1
greek,valletta,9,0
hungarian,valletta,24,0
swedish,copenhagen,6,0
bulgarian,vilnius,22,1
italian,valletta,28,1
swedish,copenhagen,8,0
latvian,rome,2,0
maltese,amsterdam,24,0
latvian,vilnius,33,0
danish,rome,13,1
slovakian,vilnius,3,1
slovakian,paris,27,0
french,vilnius,20,0
irish,paris,14,0
slovakian,copenhagen,42,0
austrian,rome,10,0
finnish,madrid,21,0
czech,vilnius,4,1
bulgarian,paris,19,0
irish,vilnius,23,0
hungarian,vilnius,24,0
slovene,vienna,11,1
italian,paris,41,0
german,amsterdam,40,1
bulgarian,paris,13,1
swedish,copenhagen,5,0
austrian,madrid,12,1
maltese,copenhagen,1,1
czech,amsterdam,14,1
dutch,copenhagen,34,0
french,sofia,13,0
luxembourgish,vienna,3,1
spanish,valletta,6,0
german,paris,24,1
polish,vilnius,31,0
greek,madrid,30,1
slovakian,paris,11,0
slovene,sofia,10,0
italian,vilnius,44,1
dutch,sofia,42,0
latvian,sofia,44,1
bulgarian,vilnius,19,1
czech,rome,7,0
danish,vilnius,1,0
portuguese,rome,5,0
austrian,sofia,26,0
czech,vilnius,20,1
estonian,paris,28,0
estonian,rome,25,1
dutch,vienna,35,0
bulgarian,sofia,8,1
cypriot,rome,19,0
italian,vilnius,27,0
dutch,amsterdam,38,0
austrian,amsterdam,5,0
bulgarian,paris,25,0
luxembourgish,valletta,22,0
estonian,vienna,44,0
czech,vienna,41,1
finnish,copenhagen,38,0
maltese,madrid,38,1
italian,copenhagen,19,0
croatian,rome,35,1
bulgarian,madrid,1,1
maltese,valletta,31,0
austrian,vilnius,4,1
greek,sofia,4,0
slovene,paris,24,1
greek,valletta,11,1
spanish,vienna,6,1
maltese,madrid,17,1
italian,valletta,27,0
lithuanian,madrid,1,0
french,vienna,34,0
irish,sofia,42,0
maltese,copenhagen,44,0
greek,madrid,41,0
slovakian,amsterdam,2,1
slovene,copenhagen,38,1
luxembourgish,paris,10,1
czech,copenhagen,18,0
dutch,valletta,28,1
hungarian,madrid,2,1
dutch,sofia,4,0
irish,paris,15,0
finnish,paris,27,0
croatian,paris,20,0
croatian,paris,22,0
romanian,vienna,36,1
romanian,copenhagen,2,1
latvian,madrid,23,0
czech,valletta,24,0
german,vienna,42,1
polish,copenhagen,26,0
italian,vilnius,44,0
greek,sofia,41,1
german,copenhagen,1,0
bulgarian,copenhagen,20,1
dutch,sofia,20,1
polish,valletta,15,0
austrian,vilnius,25,0
bulgarian,sofia,0,1
finnish,madrid,32,1
latvian,rome,14,1
bulgarian,amsterdam,32,0
luxembourgish,vienna,7,0
french,amsterdam,30,1
danish,copenhagen,25,1
hungarian,sofia,31,0
spanish,madrid,12,1
greek,amsterdam,15,1
latvian,amsterdam,43,1
slovakian,amsterdam,18,1
dutch,valletta,39,1
dutch,vienna,33,0
slovakian,paris,31,1
maltese,rome,20,0
italian,paris,42,1
bulgarian,vienna,31,0
slovakian,paris,8,0
danish,vilnius,29,0
slovene,vilnius,34,1
cypriot,copenhagen,40,0
portuguese,sofia,29,0
irish,copenhagen,18,1
dutch,amsterdam,31,1
lithuanian,paris,13,0
romanian,rome,37,0
slovene,sofia,37,0
german,vienna,10,1
estonian,vienna,23,1
slovene,vilnius,39,1
cypriot,sofia,1,0
luxembourgish,amsterdam,22,0
hungarian,rome,34,0
estonian,amsterdam,9,0
bulgarian,valletta,44,1
lithuanian,madrid,34,0
finnish,vilnius,16,1
slovakian,vilnius,11,0
austrian,vilnius,41,0
finnish,sofia,18,0
latvian,paris,41,0
croatian,madrid,27,0
polish,madrid,34,0
lithuanian,vienna,2,1
greek,amsterdam,3,1
danish,copenhagen,38,0
lithuanian,madrid,41,0
romanian,copenhagen,30,0
swedish,amsterdam,9,1
lithuanian,copenhagen,0,1
italian,sofia,1,0
cypriot,amsterdam,31,1
polish,vilnius,16,0
maltese,rome,26,0
slovakian,copenhagen,13,1
lithuanian,madrid,18,1
italian,sofia,0,0
hungarian,vienna,16,0
finnish,amsterdam,1,1
greek,vienna,20,0
finnish,amsterdam,5,0
swedish,sofia,44,1
estonian,vilnius,39,0
irish,valletta,9,1
slovene,rome,10,1
french,amsterdam,11,1
italian,copenhagen,16,0
bulgarian,vienna,5,1
slovene,amsterdam,18,1
cypriot,madrid,5,0
danish,paris,26,1
german,sofia,43,1
lithuanian,vienna,42,1
czech,vienna,13,0
czech,vienna,15,1
dutch,sofia,9,0
luxembourgish,rome,41,1
german,amsterdam,19,1
latvian,vilnius,15,1
croatian,vienna,32,1
french,vilnius,0,0
finnish,vilnius,11,0
german,vilnius,15,0
lithuanian,madrid,10,0
lithuanian,vilnius,43,0
french,paris,30,1
cypriot,paris,35,1
portuguese,amsterdam,31,0
hungarian,copenhagen,20,0
estonian,rome,2,1
finnish,valletta,43,1
luxembourgish,paris,5,0
german,madrid,31,1
hungarian,valletta,32,1
portuguese,madrid,29,0
austrian,valletta,44,1
austrian,vilnius,0,1
croatian,amsterdam,36,0
german,paris,10,0
dutch,vienna,24,1
estonian,amsterdam,8,0
luxembourgish,vilnius,12,0
maltese,vilnius,37,0
bulgarian,amsterdam,12,0
cypriot,vilnius,4,1
bulgarian,madrid,1,0
italian,amsterdam,7,0
romanian,paris,28,0
spanish,sofia,20,0
bulgarian,valletta,23,1
estonian,valletta,8,0
spanish,amsterdam,27,1
portuguese,amsterdam,31,1
slovene,vienna,23,0
portuguese,amsterdam,29,0
romanian,rome,20,0
romanian,madrid,39,1
luxembourgish,copenhagen,1,1
romanian,madrid,34,1
dutch,sofia,33,1
italian,valletta,39,0
estonian,vilnius,5,1
portuguese,copenhagen,43,1
czech,valletta,34,0
german,copenhagen,29,0
luxembourgish,rome,10,0
italian,paris,36,1
dutch,vilnius,13,0
german,sofia,5,1
portuguese,paris,5,0
dutch,rome,42,0
croatian,copenhagen,18,0
estonian,copenhagen,43,1
irish,amsterdam,11,1
french,sofia,28,1
lithuanian,valletta,24,0
maltese,valletta,32,1
greek,copenhagen,4,1
lithuanian,copenhagen,30,1
italian,amsterdam,11,0
croatian,vilnius,7,0
greek,copenhagen,43,1
slovakian,amsterdam,39,0
dutch,valletta,29,0
finnish,vienna,11,0
romanian,copenhagen,44,1
swedish,copenhagen,0,1
greek,copenhagen,7,0
dutch,amsterdam,22,1
austrian,madrid,34,0
greek,rome,43,1
estonian,vilnius,35,0
hungarian,sofia,38,1
romanian,vilnius,34,1
croatian,madrid,13,0
austrian,sofia,39,0
bulgarian,vienna,33,1
finnish,rome,41,0
spanish,valletta,43,0
portuguese,madrid,16,1
greek,rome,31,1
german,amsterdam,18,1
slovakian,rome,20,0
estonian,amsterdam,11,0
greek,vienna,29,1
lithuanian,vienna,25,1
greek,vienna,37,0
danish,copenhagen,5,0
austrian,sofia,9,0
cypriot,vilnius,42,0
croatian,vilnius,32,1
luxembourgish,sofia,41,0
greek,vilnius,5,0
romanian,amsterdam,21,0
luxembourgish,copenhagen,23,0
slovene,valletta,29,0
maltese,sofia,6,1
slovakian,sofia,13,0
slovakian,copenhagen,27,1
german,copenhagen,31,1
slovakian,valletta,31,0
czech,paris,14,0
croatian,paris,18,1
latvian,valletta,17,0
czech,valletta,35,0
danish,valletta,13,1
french,valletta,36,0
swedish,paris,2,1
lithuanian,vienna,27,1
estonian,vienna,2,0
dutch,rome,34,1
bulgarian,vienna,24,1
swedish,madrid,26,0
luxembourgish,sofia,8,0
swedish,valletta,35,0
latvian,madrid,32,1
hungarian,rome,25,1
irish,vilnius,34,1
austrian,sofia,23,0
finnish,paris,33,0
irish,paris,20,1
danish,paris,37,0
austrian,madrid,43,1
swedish,paris,41,1
slovene,valletta,41,1
dutch,madrid,1,0
luxembourgish,sofia,38,1
hungarian,copenhagen,34,0
german,madrid,40,1
latvian,vienna,28,0
lithuanian,vienna,20,0
lithuanian,valletta,29,1
french,vilnius,29,0
portuguese,valletta,2,0
romanian,rome,37,1
bulgarian,valletta,5,1
maltese,sofia,35,1
portuguese,copenhagen,23,0
maltese,paris,5,0
swedish,madrid,20,0
lithuanian,sofia,40,0
swedish,vienna,9,1
danish,vienna,10,1
hungarian,copenhagen,7,1
italian,valletta,1,1
austrian,paris,25,1
latvian,copenhagen,19,0
polish,paris,12,0
polish,paris,40,0
romanian,vienna,3,0
czech,vienna,21,0
bulgarian,paris,33,1
lithuanian,copenhagen,1,0
spanish,vilnius,11,0
maltese,copenhagen,7,0
portuguese,vienna,36,1
austrian,sofia,25,1
maltese,rome,20,1
german,madrid,36,0
portuguese,sofia,18,1
spanish,paris,44,0
french,paris,17,1
spanish,paris,28,0
latvian,rome,34,1
irish,vienna,14,1
danish,vilnius,40,1
slovakian,paris,20,0
bulgarian,vilnius,3,0
italian,sofia,20,1
czech,vienna,6,0
hungarian,vilnius,2,1
greek,rome,1,1
czech,madrid,0,1
portuguese,vilnius,17,0
finnish,sofia,30,0
maltese,copenhagen,23,0
german,vienna,36,0
hungarian,paris,10,0
latvian,amsterdam,9,0
latvian,paris,42,0
croatian,rome,36,0
romanian,vilnius,42,0
luxembourgish,sofia,34,0
greek,paris,5,0
irish,rome,30,1
finnish,amsterdam,31,1
austrian,copenhagen,9,0
german,paris,34,0
austrian,paris,40,0
cypriot,valletta,44,0
luxembourgish,paris,33,0
romanian,paris,10,1
slovene,copenhagen,10,1
croatian,amsterdam,14,0
german,rome,41,1
estonian,rome,24,1
greek,vilnius,19,0
danish,amsterdam,24,1
hungarian,vienna,28,1
latvian,vilnius,18,0
bulgarian,madrid,25,1
danish,rome,22,0
french,sofia,4,1
lithuanian,sofia,31,0
luxembourgish,madrid,6,0
romanian,sofia,26,1
lithuanian,rome,15,0
greek,vilnius,26,0
latvian,rome,31,0
czech,valletta,8,0
german,vilnius,23,1
german,valletta,12,0
maltese,valletta,0,0
irish,madrid,40,1
german,valletta,44,1
italian,vilnius,32,1
irish,vienna,4,0
croatian,vilnius,20,0
swedish,copenhagen,40,0
greek,sofia,8,1
slovene,copenhagen,34,0
czech,amsterdam,13,1
slovakian,rome,43,1
maltese,madrid,36,0
swedish,madrid,35,1
croatian,copenhagen,15,0
latvian,amsterdam,38,0
greek,madrid,12,1
austrian,valletta,42,0
german,sofia,14,0
finnish,rome,28,1
cypriot,rome,38,0
bulgarian,copenhagen,12,0
spanish,sofia,10,0
romanian,paris,43,1
portuguese,rome,2,0
luxembourgish,madrid,42,1
irish,amsterdam,33,0
austrian,paris,23,0
estonian,paris,18,0
irish,copenhagen,31,0
finnish,valletta,10,1
swedish,vienna,13,0
dutch,copenhagen,37,1
german,vilnius,7,0
luxembourgish,vilnius,5,1
danish,madrid,40,0
italian,vilnius,40,1
danish,copenhagen,33,0
bulgarian,madrid,0,0
maltese,sofia,39,0
slovene,madrid,23,1
romanian,copenhagen,11,1
spanish,rome,27,1
estonian,paris,14,1
austrian,amsterdam,7,0
german,valletta,35,0
slovakian,madrid,37,0
austrian,sofia,1,1
german,sofia,29,0
cypriot,copenhagen,41,1
bulgarian,madrid,16,1
luxembourgish,madrid,20,0
danish,valletta,36,0
danish,valletta,34,0
polish,amsterdam,4,1
french,rome,0,1
estonian,vienna,0,1
austrian,vilnius,6,0
croatian,sofia,7,1
lithuanian,amsterdam,5,0
estonian,sofia,20,0
czech,vienna,32,1
polish,copenhagen,1,0
french,rome,34,0
slovene,vienna,26,0
latvian,rome,1,1
dutch,madrid,44,1
cypriot,sofia,0,0
czech,amsterdam,8,1
portuguese,vienna,23,0
irish,vilnius,39,0
latvian,vienna,24,1
slovakian,valletta,21,1
czech,paris,25,0
dutch,vilnius,31,1
bulgarian,vienna,7,0
greek,vilnius,13,0
danish,vienna,35,0
luxembourgish,sofia,19,0
bulgarian,paris,12,1
latvian,paris,1,1
bulgarian,paris,36,0
austrian,vienna,4,0
czech,vienna,9,1
slovakian,vilnius,41,0
dutch,copenhagen,31,1
slovakian,paris,42,1
croatian,vienna,19,0
romanian,vienna,25,1
spanish,madrid,0,1
austrian,copenhagen,24,0
estonian,madrid,28,0
danish,valletta,4,1
austrian,paris,2,1
czech,copenhagen,34,1
portuguese,copenhagen,32,0
czech,amsterdam,28,0
czech,madrid,26,1
danish,paris,42,0
czech,vienna,10,0
swedish,sofia,12,0
slovakian,rome,42,0
greek,valletta,1,1
latvian,vienna,32,1
czech,sofia,22,0
swedish,madrid,0,0
slovene,valletta,36,1
irish,sofia,4,0
danish,valletta,33,0
austrian,paris,35,0
italian,valletta,37,0
lithuanian,sofia,42,0
czech,madrid,41,1
italian,sofia,39,0
maltese,amsterdam,7,1
luxembourgish,madrid,33,0
swedish,amsterdam,35,1
romanian,valletta,32,0
french,valletta,36,1
maltese,vilnius,9,1
irish,valletta,20,0
bulgarian,copenhagen,2,1
estonian,paris,23,0
lithuanian,copenhagen,19,1
greek,vienna,0,0
slovene,copenhagen,39,1
french,paris,11,0
romanian,copenhagen,40,0
spanish,rome,23,1
austrian,valletta,33,0
danish,vienna,33,0
finnish,vienna,1,0
irish,copenhagen,9,0
croatian,vienna,11,1
romanian,copenhagen,43,0
spanish,vienna,11,0
croatian,vienna,21,1
cypriot,paris,4,0
bulgarian,paris,26,1
romanian,valletta,11,1
latvian,sofia,31,1
romanian,sofia,14,1
maltese,valletta,6,0
german,amsterdam,5,1
slovakian,copenhagen,8,0
german,valletta,9,1
latvian,madrid,12,0
romanian,copenhagen,40,1
austrian,copenhagen,39,1
finnish,vilnius,34,1
slovakian,vienna,37,1
austrian,copenhagen,11,0
spanish,vienna,40,0
greek,copenhagen,27,1
german,vilnius,40,1
danish,vienna,25,1
slovakian,vilnius,40,0
maltese,paris,15,1
finnish,valletta,23,0
estonian,copenhagen,44,1
dutch,sofia,15,1
maltese,amsterdam,44,0
spanish,paris,27,0
finnish,vienna,8,0
cypriot,madrid,18,0
croatian,valletta,3,0
latvian,vilnius,42,1
lithuanian,amsterdam,1,0
cypriot,amsterdam,11,0
slovene,madrid,13,1
portuguese,amsterdam,41,0
spanish,rome,35,0
slovakian,vilnius,3,0
cypriot,rome,33,0
spanish,vienna,29,1
swedish,copenhagen,11,1
spanish,amsterdam,8,0
bulgarian,copenhagen,8,1
french,vilnius,26,1
french,copenhagen,7,0
swedish,copenhagen,6,1
danish,amsterdam,9,0
slovene,amsterdam,28,1
french,amsterdam,0,1
maltese,sofia,33,0
polish,rome,43,1
lithuanian,vilnius,3,0
finnish,paris,41,1
lithuanian,madrid,4,0
croatian,vilnius,35,1
french,vilnius,21,0
french,madrid,37,1
irish,copenhagen,11,0
finnish,rome,39,0
cypriot,sofia,20,1
hungarian,amsterdam,25,0
french,vienna,36,1
dutch,vilnius,42,0
finnish,valletta,40,1
slovene,paris,8,1
german,paris,10,1
croatian,vienna,4,0
romanian,amsterdam,14,0
irish,paris,0,0
romanian,vienna,8,1
greek,rome,42,0
greek,paris,41,0
german,rome,16,0
dutch,madrid,3,1
italian,valletta,17,0
danish,copenhagen,41,1
finnish,rome,31,1
italian,amsterdam,35,0
austrian,vienna,36,1
french,vilnius,10,0
estonian,vienna,7,0
romanian,rome,10,0
danish,paris,32,1
maltese,copenhagen,16,1
croatian,rome,28,0
lithuanian,vienna,7,0
cypriot,vilnius,35,1
maltese,valletta,40,1
irish,rome,4,0
romanian,amsterdam,36,0
austrian,amsterdam,38,0
finnish,madrid,2,0
austrian,madrid,22,1
portuguese,copenhagen,43,0
austrian,rome,8,1
luxembourgish,amsterdam,2,1
slovene,vilnius,42,1
italian,vienna,42,0
danish,sofia,17,0
latvian,vienna,16,1
lithuanian,vilnius,7,1
swedish,vienna,23,1
estonian,sofia,43,1
slovakian,vienna,26,1
portuguese,madrid,10,1
swedish,madrid,31,1
danish,madrid,26,1
spanish,valletta,34,1
latvian,madrid,8,0
portuguese,vienna,42,1
danish,madrid,18,1
dutch,vilnius,16,0
slovakian,valletta,5,0
french,vilnius,23,0
german,valletta,28,0
danish,rome,13,0
bulgarian,madrid,44,0
hungarian,paris,19,1
latvian,amsterdam,20,0
luxembourgish,rome,7,0
bulgarian,valletta,4,0
luxembourgish,valletta,42,0
luxembourgish,sofia,14,1
latvian,sofia,35,1
luxembourgish,sofia,12,0
luxembourgish,copenhagen,40,0
estonian,vilnius,38,1
croatian,copenhagen,30,1
maltese,rome,1,1
finnish,madrid,17,1
romanian,paris,5,1
dutch,sofia,6,0
dutch,copenhagen,42,1
swedish,vilnius,9,1
czech,vienna,22,1
slovene,vienna,38,0
swedish,vienna,43,1
slovene,copenhagen,20,1
romanian,vienna,25,0
maltese,copenhagen,12,0
romanian,vilnius,5,0
french,copenhagen,9,1
slovakian,valletta,29,0
romanian,madrid,41,1
bulgarian,sofia,31,0
slovene,madrid,9,1
italian,rome,15,1
slovene,paris,23,0
austrian,madrid,24,0
greek,madrid,10,1
luxembourgish,rome,44,0
estonian,valletta,9,0
austrian,copenhagen,34,0
latvian,madrid,6,1
french,vienna,16,0
danish,madrid,18,0
maltese,madrid,36,1
danish,amsterdam,23,0
estonian,amsterdam,16,1
slovene,paris,10,0
german,amsterdam,35,1
german,rome,38,1
latvian,paris,33,0
finnish,rome,1,1
hungarian,amsterdam,9,0
polish,copenhagen,0,0
czech,valletta,29,1
estonian,amsterdam,27,1
irish,amsterdam,41,0
cypriot,rome,18,1
maltese,copenhagen,41,1
bulgarian,valletta,24,1
slovakian,madrid,32,1
czech,copenhagen,5,0
croatian,valletta,18,0
slovakian,valletta,10,1
luxembourgish,rome,6,1
lithuanian,valletta,34,0
croatian,vilnius,42,0
polish,paris,10,0
polish,copenhagen,18,0
german,vienna,39,0
irish,rome,17,0
italian,paris,29,1
cypriot,vienna,10,1
slovakian,paris,44,1
danish,vilnius,31,0
romanian,paris,11,0
lithuanian,valletta,22,1
greek,vienna,20,1
swedish,amsterdam,10,1
hungarian,madrid,22,1
spanish,paris,19,1
cypriot,copenhagen,36,0
danish,valletta,32,0
lithuanian,vienna,31,1
swedish,vilnius,33,1
maltese,vienna,13,1
cypriot,valletta,28,1
estonian,madrid,39,0
slovakian,sofia,16,0
italian,copenhagen,20,1
portuguese,vienna,4,1
finnish,madrid,36,0
hungarian,amsterdam,23,1
polish,sofia,29,1
luxembourgish,rome,43,0
german,vienna,28,0
lithuanian,vienna,5,1
swedish,sofia,38,1
portuguese,vienna,25,1
austrian,paris,36,0
italian,madrid,20,0
hungarian,madrid,5,1
german,madrid,43,0
hungarian,madrid,42,1
finnish,rome,12,0
estonian,copenhagen,16,1
polish,madrid,9,1
czech,sofia,29,1
french,amsterdam,28,1
estonian,madrid,29,0
croatian,amsterdam,13,0
french,rome,23,0
austrian,madrid,44,1
italian,amsterdam,15,0
polish,copenhagen,22,0
luxembourgish,paris,7,0
lithuanian,madrid,24,1
romanian,rome,4,0
finnish,rome,39,1
lithuanian,vilnius,18,0
spanish,amsterdam,4,1
latvian,paris,24,0
dutch,paris,30,1
slovakian,rome,41,1
italian,valletta,40,1
bulgarian,vilnius,41,1
dutch,rome,11,1
cypriot,valletta,37,1
estonian,amsterdam,32,0
estonian,copenhagen,37,1
estonian,amsterdam,17,1
german,amsterdam,13,1
portuguese,vienna,35,1
slovene,valletta,43,1
lithuanian,sofia,30,0
swedish,vienna,7,1
greek,madrid,35,0
romanian,sofia,18,0
austrian,rome,26,0
german,amsterdam,37,0
greek,amsterdam,2,1
slovene,sofia,2,0
dutch,paris,26,0
austrian,sofia,18,1
french,amsterdam,12,1
estonian,amsterdam,44,0
bulgarian,sofia,15,1
polish,copenhagen,21,0
luxembourgish,vilnius,44,0
luxembourgish,vilnius,17,1
portuguese,copenhagen,30,0
spanish,rome,33,1
italian,valletta,43,0
italian,sofia,40,1
romanian,paris,4,0
austrian,copenhagen,10,1
portuguese,vilnius,21,1
italian,vilnius,15,1
bulgarian,madrid,30,1
bulgarian,copenhagen,7,1
bulgarian,copenhagen,19,0
slovene,rome,23,1
german,amsterdam,18,0
romanian,vienna,6,0
luxembourgish,paris,9,1
hungarian,valletta,2,0
slovakian,paris,33,1
latvian,vienna,22,1
portuguese,paris,40,1
lithuanian,valletta,44,0
lithuanian,rome,15,1
hungarian,valletta,39,1
slovene,vienna,20,1
swedish,amsterdam,41,0
bulgarian,sofia,23,0
maltese,vienna,22,1
slovene,valletta,2,0
cypriot,madrid,33,1
spanish,paris,0,1
cypriot,madrid,37,0
danish,vienna,39,0
irish,sofia,13,0
finnish,sofia,6,0
hungarian,vilnius,15,0
bulgarian,valletta,43,1
croatian,madrid,29,0
italian,copenhagen,37,1
luxembourgish,paris,28,1
cypriot,rome,12,0
slovene,paris,23,1
maltese,rome,32,1
french,amsterdam,41,0
finnish,valletta,33,1
lithuanian,sofia,5,0
greek,sofia,6,0
german,rome,0,0
dutch,madrid,33,1
slovene,vilnius,34,0
slovene,sofia,26,1
maltese,amsterdam,4,1
czech,sofia,41,0
finnish,vilnius,41,0
spanish,amsterdam,28,1
polish,madrid,26,0
greek,madrid,0,1
austrian,vilnius,1,1
austrian,valletta,24,1
danish,valletta,33,1
irish,paris,19,0
finnish,amsterdam,10,0
croatian,madrid,42,1
italian,amsterdam,1,1
croatian,vilnius,13,1
luxembourgish,copenhagen,7,1
danish,sofia,24,1
dutch,madrid,29,1
slovene,vienna,27,1
maltese,rome,29,0
croatian,vienna,24,0
maltese,madrid,12,1
romanian,vilnius,6,1
german,vienna,3,1
slovakian,amsterdam,34,0
greek,vilnius,33,1
latvian,paris,32,1
hungarian,paris,9,1
polish,valletta,22,0
romanian,sofia,18,1
bulgarian,rome,42,0
italian,valletta,10,1
czech,madrid,35,1
french,vilnius,26,0
french,madrid,27,1
finnish,paris,11,0
swedish,vienna,37,0
danish,copenhagen,17,0
czech,valletta,22,0
slovene,amsterdam,13,1
french,valletta,15,1
dutch,rome,5,0
italian,madrid,2,1
maltese,sofia,36,1
irish,vienna,33,0
croatian,copenhagen,0,1
finnish,amsterdam,20,1
swedish,vienna,27,1
slovakian,sofia,33,0
polish,copenhagen,16,1
luxembourgish,vilnius,15,1
slovakian,amsterdam,20,0
finnish,sofia,43,0
dutch,amsterdam,22,0
swedish,rome,30,1
danish,rome,5,0
latvian,sofia,14,0
cypriot,sofia,44,0
lithuanian,madrid,33,1
italian,vienna,15,0
spanish,amsterdam,25,1
estonian,vienna,33,0
polish,vilnius,18,1
irish,madrid,26,0
spanish,vienna,44,1
danish,vilnius,26,1
french,paris,13,1
slovene,amsterdam,10,1
german,rome,39,1
slovakian,paris,44,0
lithuanian,vilnius,10,0
austrian,vienna,0,1
greek,paris,9,0
polish,vilnius,20,1
luxembourgish,paris,35,1
german,valletta,16,0
italian,vienna,2,1
french,amsterdam,19,0
latvian,vienna,6,1
romanian,madrid,2,0
hungarian,valletta,28,0
german,valletta,19,0
swedish,vilnius,27,0
swedish,sofia,35,0
cypriot,paris,44,0
latvian,paris,44,1
czech,vilnius,8,0
slovakian,paris,12,1
hungarian,vienna,14,0
italian,amsterdam,26,1
danish,sofia,18,1
luxembourgish,rome,13,1
french,vienna,24,0
greek,madrid,21,0
luxembourgish,vienna,44,1
spanish,paris,40,1
cypriot,sofia,34,0
luxembourgish,vienna,1,1
estonian,valletta,18,1
lithuanian,copenhagen,0,0
french,copenhagen,8,1
croatian,vilnius,8,1
austrian,copenhagen,38,0
greek,paris,28,1
danish,copenhagen,43,0
irish,paris,10,1
dutch,copenhagen,28,0
lithuanian,amsterdam,32,1
slovene,paris,40,1
irish,amsterdam,26,0
croatian,paris,16,1
bulgarian,copenhagen,44,0
italian,sofia,44,1
cypriot,sofia,19,1
luxembourgish,vienna,33,0
estonian,copenhagen,33,0
portuguese,amsterdam,20,0
polish,vilnius,15,1
swedish,amsterdam,35,0
italian,sofia,44,0
italian,valletta,44,0
estonian,copenhagen,5,0
finnish,copenhagen,33,0
polish,paris,19,1
luxembourgish,rome,20,1
danish,rome,42,0
greek,paris,2,0
romanian,vienna,32,1
slovakian,copenhagen,15,1
polish,sofia,18,1
czech,copenhagen,26,1
portuguese,vienna,42,0
swedish,vilnius,33,0
lithuanian,vilnius,44,0
romanian,vienna,44,0
maltese,vienna,23,0
czech,paris,16,0
spanish,amsterdam,0,0
romanian,vilnius,20,0
hungarian,valletta,22,0
bulgarian,madrid,9,1
spanish,valletta,9,1
latvian,rome,30,0
croatian,vilnius,21,0
maltese,rome,36,1
cypriot,paris,32,0
slovakian,vienna,10,0
greek,rome,40,0
danish,copenhagen,28,0
polish,rome,12,1
czech,rome,37,1
german,paris,35,0
latvian,vienna,10,0
portuguese,vienna,34,1
croatian,vilnius,39,1
portuguese,sofia,23,1
maltese,vienna,10,1
lithuanian,vienna,2,0
french,valletta,38,1
romanian,rome,23,1
portuguese,amsterdam,28,0
danish,rome,43,0
czech,amsterdam,32,0
danish,madrid,15,0
slovakian,vienna,16,0
bulgarian,valletta,22,0
hungarian,sofia,1,0
danish,rome,32,1
italian,valletta,5,0
irish,vienna,9,0
austrian,paris,19,1
irish,vienna,22,1
estonian,copenhagen,16,0
maltese,valletta,9,1
german,rome,43,1
bulgarian,vienna,40,0
croatian,paris,36,0
czech,sofia,19,0
danish,sofia,13,1
romanian,paris,36,0
estonian,copenhagen,32,0
greek,vilnius,23,1
romanian,amsterdam,31,1
czech,paris,41,1
polish,valletta,27,0
finnish,valletta,20,1
romanian,madrid,44,0
austrian,vienna,12,0
luxembourgish,amsterdam,44,1
romanian,paris,2,0
lithuanian,paris,12,1
luxembourgish,sofia,1,0
austrian,vilnius,10,1
danish,copenhagen,43,1
lithuanian,copenhagen,22,1
dutch,amsterdam,18,1
danish,sofia,44,0
portuguese,vilnius,40,0
danish,copenhagen,24,1
cypriot,amsterdam,42,1
bulgarian,valletta,12,0
lithuanian,copenhagen,17,1
danish,paris,4,1
swedish,madrid,8,0
hungarian,vilnius,25,1
italian,sofia,41,1
hungarian,vienna,5,1
romanian,valletta,10,1
hungarian,vilnius,4,0
irish,paris,23,1
croatian,vilnius,41,0
bulgarian,vienna,13,1
austrian,amsterdam,10,0
cypriot,vilnius,9,0
cypriot,vienna,13,0
maltese,rome,5,1
cypriot,valletta,21,1
irish,paris,41,1
croatian,copenhagen,1,0
french,copenhagen,38,0
slovene,rome,11,1
austrian,sofia,15,1
dutch,amsterdam,20,0
latvian,vienna,40,0
irish,madrid,12,1
maltese,amsterdam,9,0
italian,amsterdam,33,0
german,copenhagen,35,1
hungarian,amsterdam,15,1
italian,rome,21,1
bulgarian,amsterdam,24,1
finnish,paris,17,1
lithuanian,amsterdam,27,1
danish,paris,28,0
estonian,sofia,38,0
italian,rome,20,1
czech,vienna,24,0
swedish,sofia,37,0
irish,paris,6,1
estonian,valletta,12,1
slovene,vilnius,39,0
luxembourgish,paris,36,1
hungarian,sofia,21,1
slovakian,copenhagen,8,1
spanish,sofia,10,1
